date_iso,date_label,day,festival,month,source_url
,"October 17, 2026 / १७ ऑक्टोबर २०२६",Saturday / शनिवार,Tula Sankranti / तुला संक्रांत,october,https://kalnirnay.co.in/october/
,"October 19, 2026 / १९ ऑक्टोबर २०२६",Monday / सोमवार,Durga Ashtami / दुर्गा अष्टमी,october,https://kalnirnay.co.in/october/
,"October 19, 2026 / १९ ऑक्टोबर २०२६",Monday / सोमवार,Maha Navami / महा नवमी,october,https://kalnirnay.co.in/october/
,"October 20, 2026 / २० ऑक्टोबर २०२६",Tuesday / मंगलवार,Vijayadashami / विजयदशमी,october,https://kalnirnay.co.in/october/
,"October 20, 2026 / २० ऑक्टोबर २०२६",Tuesday / मंगलवार,Dasara / दसरा,october,https://kalnirnay.co.in/october/
,"October 22, 2026 / २२ ऑक्टोबर २०२६",Thursday / गुरुवार,Papankusha Ekadashi / पपंकुश एकादशी,october,https://kalnirnay.co.in/october/
,"October 25, 2026 / २५ ऑक्टोबर २०२६",Sunday / रविवार,Kojagari Paurnima / कोजागरी पौर्णिमा,october,https://kalnirnay.co.in/october/
,"October 29, 2026 / २९ ऑक्टोबर २०२६",Thursday / गुरुवार,Vakratunda Sankashti / वक्रतुंड संकष्टि,october,https://kalnirnay.co.in/october/
,"November 1, 2026 / ०१ नोव्हेंबर २०२६",Sunday / रविवार,Bhanu Saptami / भानु सप्तमी,november,https://kalnirnay.co.in/november/
,"November 5, 2026 / ०५ नोव्हेंबर २०२६",Thursday / गुरुवार,Vasu Baras / वसू बडस,november,https://kalnirnay.co.in/november/
,"November 5, 2026 / ०५ नोव्हेंबर २०२६",Thursday / गुरुवार,Rama Ekadashi / रामा एकादशी,november,https://kalnirnay.co.in/november/
,"November 6, 2026 / ०६ नोव्हेंबर २०२६",Friday / शुक्रवार,Dhantrayodashi / धनत्रयोदशी,november,https://kalnirnay.co.in/november/
,"November 8, 2026 / ०८ नोव्हेंबर २०२६",Sunday / रविवार,Lakshmi Puja / लक्ष्मी पूजा,november,https://kalnirnay.co.in/november/
,"November 8, 2026 / ०८ नोव्हेंबर २०२६",Sunday / रविवार,Narak Chaturdashi / नरक चतुर्दशी,november,https://kalnirnay.co.in/november/
,"November 8, 2026 / ०८ नोव्हेंबर २०२६",Sunday / रविवार,Diwali / दिवाळी,november,https://kalnirnay.co.in/november/
,"November 10, 2026 / १० नोव्हेंबर २०२६",Tuesday / मंगळवार,Govardhan Puja / गोवर्धन पूजा,november,https://kalnirnay.co.in/november/
,"November 10, 2026 / १० नोव्हेंबर २०२६",Tuesday / मंगळवार,Bali Pratipada / बाळी प्रतिपदा,november,https://kalnirnay.co.in/november/
